MOVIE,TICKER,Trailer Date,Like,Dislike,Views,Comments,Polarity,Subjectivity,Polarity_Std,Subjectivity_Std,Previous_month_price_variation,Average Volume,Volatility,Period_price_Variation
The Perfect Match ,LGF,"[datetime.datetime(2016, 1, 18, 18, 33, 20)]",29111,2004,5639521,3827,0.0556662336785939,0.4134085667419001,0.35160049053503944,0.33617325950379107,-0.1331644004741395,1278133.3333333333,1.83353710525344,-0.42584969095882663
Winchester ,LGF,"[datetime.datetime(2018, 1, 4, 18, 0, 15)]",8037,334,6137832,1327,0.09870265257149907,0.38827748845176274,0.2830164230047846,0.3582552549155465,-0.0009358611056079373,492114.28571428574,0.913984116409825,0.04602372058019341
The Divergent Series Allegiant ,LGF,"[datetime.datetime(2015, 11, 13, 22, 10, 37)]",4609,591,6957365,1125,0.06259725032659125,0.41366855192147867,0.34297688572237334,0.3539449970085924,-0.0494851431289616,1208521.7391304348,0.8603469681780728,-0.16893161229625242
The Big Sick ,LGF,"[datetime.datetime(2017, 5, 2, 17, 50, 24)]",27245,2499,6952307,4003,0.09001081367889277,0.3659341165216871,0.34069822277996437,0.3747993371262537,-0.026465037750560225,499057.14285714284,0.4553075478657777,0.06347936907605842
Acrimony ,LGF,"[datetime.datetime(2017, 10, 19, 16, 0, 8)]",44318,6292,17062412,9719,0.02999375860881543,0.43473861996589264,0.3677379898426375,0.3423415834036976,-0.059245399673296596,521656.52173913043,1.0227658631334788,0.017281596766483664
Nerve ,LGF,"[datetime.datetime(2016, 5, 11, 16, 0, 9)]",3374,332,4600949,1039,0.10899142322622504,0.3297779150228675,0.32188716027055886,0.35276937505531997,0.04572878963196821,2056960.8695652173,0.874024466581093,0.0678380335678724
I Still See You ,LGF,"[datetime.datetime(2018, 7, 18, 19, 38, 2)]",52136,7022,15457874,3564,0.05192656524365863,0.3321738407509492,0.34229999292836355,0.35378835826965205,-0.10377074450112805,587022.7272727273,0.8495355335031629,-0.14707016037022438
Air Strike ,LGF,"[datetime.datetime(2018, 8, 29, 2, 52, 59)]",19121,1444,4723063,1740,-0.032180858059764304,0.42109863516113516,0.40131286051336074,0.349222011276468,0.02624794199721279,558217.3913043478,0.45931429486007763,0.054027588295475625
Trespass Against Us ,LGF,"[datetime.datetime(2016, 9, 22, 15, 0, 3)]",306422,7642,35531508,24017,0.08015060240963855,0.3230923694779117,0.31100752395335185,0.34907707220532125,-0.02553393136688511,2224145.4545454546,0.40196758355084794,-0.08840592305175732
My Little Pony The Movie ,LGF,"[datetime.datetime(2017, 6, 28, 23, 55, 33)]",21212,3145,4434661,2752,0.10866553751039236,0.39507584964786163,0.33636909592456277,0.3504369766618396,0.055025577461712515,548386.3636363636,0.6032780848160832,0.09062168445394438
The Sense of an Ending ,LGF,"[datetime.datetime(2016, 12, 13, 18, 57, 7)]",4475,184,1390100,443,0.14928456959706962,0.45173992673992674,0.39116588065743085,0.3987327026771152,0.12494680171913979,3081747.619047619,1.400940480534555,0.1712769151704362
Aftermath ,LGF,"[datetime.datetime(2018, 10, 16, 15, 59, 47)]",9128,676,6549758,814,0.2474891656223893,0.3638184001670844,0.34108973519820873,0.3346388520178826,0.05090650821188327,921213.6363636364,0.9853194711228805,-0.06838802535062577
