Date,Open,High,Low,Adj Close,Volume,SMAVG (15)
12/7/2012,41.6377,41.6377,40.6332,41.2206,13550,15584
11/7/2012,41.7314,42.5996,41.3662,41.6973,23609,15303
10/7/2012,42.9147,42.9913,41.8846,42.3358,25902,13973
9/7/2012,43.5106,43.7915,43.0764,43.417,9676,12726
6/7/2012,43.6809,43.6809,43.1616,43.5191,20538,12525
5/7/2012,44.3364,44.3449,43.7234,44.0469,9551,11882
3/7/2012,43.8426,44.4385,43.8426,44.2938,8502,13253
2/7/2012,43.9533,43.9533,43.3318,43.9448,11844,13132
29/6/2012,43.417,44.098,43.2041,43.3999,28571,13724
28/6/2012,44.2598,44.3253,43.2041,43.3063,11438,12175
27/6/2012,43.9873,44.6599,43.8767,44.1746,12105,12291
26/6/2012,44.0299,44.3108,43.4766,43.6979,8237,12096
25/6/2012,44.2172,44.2768,43.6638,43.9022,12131,11987
22/6/2012,44.9408,44.9664,44.3449,44.5492,22619,13072
21/6/2012,45.5963,45.9369,44.43,44.8812,15481,12828
20/6/2012,45.1196,45.6559,44.7195,45.409,9337,12612
19/6/2012,45.1536,45.375,45.043,45.043,3664,13420
18/6/2012,45.0259,45.1196,44.3619,45.1196,7190,14172
15/6/2012,44.6173,45.2473,44.3704,44.8812,6660,14239
14/6/2012,43.9278,44.5066,43.5276,44.5066,10895,14512
13/6/2012,44.3534,44.3534,43.8341,43.8341,30124,14264
12/6/2012,44.6799,44.6799,44.0863,44.4428,6689,12868
11/6/2012,44.2057,44.4174,43.8669,44.1972,20721,14509
8/6/2012,43.706,43.8585,43.2064,43.8161,5333,14139
7/6/2012,43.6552,43.9516,43.5367,43.9008,13172,15739
6/6/2012,42.5628,43.7314,42.5628,43.4096,9181,20412
5/6/2012,42.4188,42.639,42.3426,42.4019,6612,21048
4/6/2012,43.2826,43.5282,42.3934,42.4442,28407,21848
1/6/2012,43.9432,44.6122,43.2487,43.5113,18954,20430
31/5/2012,44.8493,45.2642,44.0787,44.7138,12247,19458
30/5/2012,44.6376,44.9763,44.3539,44.9678,21458,19515
29/5/2012,44.4682,45.3405,44.4462,44.8239,14944,20867
25/5/2012,44.5021,44.6714,44.0279,44.1718,8195,20673
24/5/2012,43.7653,45.1118,43.7653,44.7731,10749,20550
23/5/2012,43.1895,43.6383,42.9523,43.6383,7176,22694
22/5/2012,43.5959,44.2946,42.9609,43.579,9182,22998
21/5/2012,43.0963,43.9601,42.6813,43.6976,31300,23328
18/5/2012,44.1887,44.3489,42.8168,43.1471,15169,22341
17/5/2012,43.8161,45.0102,43.8161,43.9686,29340,21961
16/5/2012,43.7484,44.79,43.6129,43.8585,83260,21069
15/5/2012,43.2572,43.5028,43.1048,43.181,18722,16403
14/5/2012,43.3588,43.6044,43.2741,43.3588,18624,16044
11/5/2012,43.3419,44.0278,43.3419,43.5197,7124,15077
10/5/2012,43.3504,44.0024,43.308,43.6383,4380,14963
9/5/2012,42.6813,43.8161,42.5543,43.1386,13107,15826
8/5/2012,43.6976,44.2904,42.4866,43.0624,41732,16145
7/5/2012,44.1972,45.0772,43.4006,44.0109,12029,14130
4/5/2012,44.1125,44.4005,43.4012,44.1972,6353,14195
3/5/2012,43.6044,45.0525,43.3029,44.5359,42919,14071
2/5/2012,43.1895,43.7399,42.5882,43.2276,11731,12338
1/5/2012,42.8677,43.4682,42.7067,43.2064,14132,12994
30/4/2012,43.6468,43.6468,42.6983,42.8931,16490,12998
27/4/2012,44.1803,44.2057,43.2487,43.706,9467,12635
26/4/2012,43.5451,44.0278,43.2403,44.0024,15964,13009
