Date,Open,High,Low,Close,Volume,SMAVG (15)
25/7/2018,23.9013,24.0407,23.5627,23.7818,472774,643861
24/7/2018,24.698,24.7677,23.9112,23.971,574003,633817
23/7/2018,24.7677,24.7677,24.3594,24.4889,526528,651251
20/7/2018,24.7677,25.0565,24.4391,24.7677,719030,635200
19/7/2018,24.4789,25.1461,24.0828,24.8773,1958030,621873
18/7/2018,24.3594,24.5436,23.493,23.7718,831159,523114
17/7/2018,24.9968,25.4449,24.3494,24.3793,1144568,497728
16/7/2018,25.9528,26.0275,25.0266,25.2457,368323,453920
13/7/2018,25.7138,25.9229,25.4947,25.8134,339167,500668
12/7/2018,25.6441,25.8632,25.3553,25.7337,522137,526734
11/7/2018,25.4748,25.7437,25.1461,25.5345,441957,535670
10/7/2018,26.0026,26.0026,25.3752,25.5246,292888,570185
9/7/2018,25.7337,26.1918,25.5246,25.9528,622824,609628
6/7/2018,25.1362,25.8134,24.9171,25.5843,479312,655274
5/7/2018,24.8175,25.2358,24.7478,25.1461,365210,679742
3/7/2018,24.9968,25.2059,24.6482,24.6681,322114,766201
2/7/2018,24.5984,25.186,24.464,24.7478,835522,771488
29/6/2018,24.8075,25.1063,24.6482,24.7179,285760,750402
28/6/2018,24.8474,24.9768,24.2399,24.7577,519119,775628
27/6/2018,25.4923,25.6808,24.7976,24.8175,476647,789716
26/6/2018,25.4228,25.5518,25.0259,25.5022,450368,833533
25/6/2018,26.683,26.7227,25.264,25.403,487451,857680
22/6/2018,26.1472,26.7624,26.1472,26.683,1069550,870971
21/6/2018,27.5364,27.6654,25.8967,26.0976,730147,874472
20/6/2018,26.8517,27.328,26.5639,27.2387,656181,880014
19/6/2018,26.306,26.7426,25.9586,26.2464,959681,893482
18/6/2018,26.2861,26.6136,25.9487,26.5243,884531,881965
15/6/2018,24.8274,26.3655,24.7083,26.3357,1307513,898876
14/6/2018,25.006,25.274,24.5694,24.8473,846337,886427
13/6/2018,25.8793,25.9289,24.2916,24.6686,1662100,883534
12/6/2018,24.0534,24.4603,23.8252,23.9343,401410,819299
11/6/2018,23.6367,24.1923,23.6069,23.9343,519241,834850
8/6/2018,24.2122,24.3412,23.4977,23.6466,664139,833817
7/6/2018,24.2717,24.619,23.6466,24.2519,730446,807284
6/6/2018,23.6763,24.3809,23.329,24.2717,1133900,785941
5/6/2018,23.3489,23.9343,23.2695,23.6168,812573,746894
4/6/2018,23.7061,23.7457,23.2497,23.3687,686818,715931
1/6/2018,23.1901,23.6565,22.9024,23.6069,1122061,694947
31/5/2018,23.5077,23.5672,22.6543,22.9917,813275,679044
30/5/2018,23.5573,24.0038,23.2993,23.5573,858203,695419
29/5/2018,23.984,24.0425,22.9917,23.3985,786922,710675
25/5/2018,23.845,24.6984,23.6873,24.2717,1138204,712413
24/5/2018,23.3886,23.587,22.8924,23.1703,1120782,692510
23/5/2018,23.21,23.458,22.8527,23.3985,802938,735101
22/5/2018,23.5077,23.716,23.3092,23.339,698575,821979
21/5/2018,24.1229,24.3114,23.3985,23.5374,634676,828508
18/5/2018,23.9145,24.2717,23.8351,24.103,503739,822759
17/5/2018,23.9046,23.974,23.6267,23.7756,266143,847525
16/5/2018,23.4977,23.845,23.3985,23.7954,410301,849736
15/5/2018,23.2397,23.6565,23.1008,23.587,548205,852466
14/5/2018,22.5054,23.4084,22.4806,23.3191,348127,847713
11/5/2018,22.9024,22.9024,22.4955,22.6344,372056,870793
10/5/2018,22.5253,22.9321,22.4757,22.8031,883507,886507
9/5/2018,22.694,22.8329,22.2276,22.4161,1058906,856080
8/5/2018,23.4084,23.5374,22.4905,22.7337,1087039,813686
7/5/2018,22.952,23.5424,22.952,23.5176,812994,773259
4/5/2018,21.91,22.9817,21.8307,22.8527,839660,769280
3/5/2018,22.3169,22.4955,21.3742,21.8604,1759653,744788
2/5/2018,23.6168,23.6168,22.3566,22.4161,2106103,665153
