Video ID,Title,Comment,publishedAt
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Whoever disliked might as well not play the game,2016-07-23T15:28:11.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,that is callofdkdjjffj,2016-07-23T08:35:12.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,#MAKECODGREATAGAIN,2016-07-23T00:05:51.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,can't water to buy this game it looks fun,2016-07-22T17:07:08.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,9:07 so you can get passed the timer. 37:39 end the video.,2016-07-22T14:47:34.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"Cod 4 re,astered looks awesome",2016-07-22T09:41:03.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,we need mw4,2016-07-22T06:48:12.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,cool new star wars game,2016-07-22T04:02:52.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,looks kool,2016-07-21T13:42:59.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,if this is about to be s game of war in space I aint bying non of that trash,2016-07-21T07:28:36.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,is it caming to xbox 360 and pc,2016-07-20T18:16:15.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,is it caming to xbox 360 and pc,2016-07-20T18:16:14.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"You guys don't get it, we don't want more futuristic feel, but much older feel, like Call of duty World at war",2016-07-20T14:39:37.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,I'm looking forward  to playing  Infinite Warfare.,2016-07-20T05:37:47.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"best part of the video 00:00-09:13
thank me later...",2016-07-19T13:47:57.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,2 vids already broke the most dislikes record and you're still trying to sell this crap to people by putting cod 4 in there for 100 dollars smh 😞😔😭😓😤😡,2016-07-19T11:48:37.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,it's good to hear that they added a gallon of bleach to the iw/cod4 bundle so that I can proceed to kill myself after playing infinite warfare,2016-07-19T10:11:22.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,reply to this if u vote to remaster call of duty modern warfare 2,2016-07-19T04:58:40.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Why yo hatin'? It is not trailer of game!,2016-07-18T21:43:25.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Did any one notice he said boots on the ground and y so much hate,2016-07-18T01:41:36.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Still better than bo3,2016-07-18T00:45:08.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,make cod 4,2016-07-17T21:20:00.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Hi,2016-07-17T16:54:20.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,The next cod would be global warfare,2016-07-17T16:26:24.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"this looks alright why is everyone disliking yes understand that they literally bring the same game out every year but for BO3 everyone was excited for wall running but in this you can grapple(Advanced Warfare),float around in space, make guns turn from 1 to another SMG to sniper and many other things so give then a little credit and they made a remaster MW4 inside it.",2016-07-17T16:09:42.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,im pre ording this and taitanfall 2 in september,2016-07-17T12:44:05.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,BOOTS ON THE GROUND,2016-07-17T12:32:17.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,how many call of duty developers drank bleach after this,2016-07-17T12:05:51.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,il vas être trop coll,2016-07-17T10:17:13.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,ouh yeah l..l,2016-07-17T02:43:29.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Why is there no sound,2016-07-17T00:36:36.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,This is OBVIOUSLY Halo Star Gallactica Effect 21,2016-07-17T00:35:00.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,will it be on Xbox 360,2016-07-16T22:18:14.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,will it be on Xbox 360,2016-07-16T22:18:04.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"U know, you guys wouldn't complain if it wasn't called Call of Duty. If it was just Infinate Warfare you huys would like it",2016-07-16T18:13:39.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,I'm giving it a chance cause zombies could be good.,2016-07-16T16:33:59.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,it's good to know we might have a zombies mode,2016-07-16T16:02:51.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"Damn, those dislikes still?",2016-07-16T09:44:13.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Call of Duty SpaceShip Warfare 1,2016-07-15T22:46:45.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"Why is there so much hate for this game, CoD doesn't deserve this.",2016-07-15T22:37:21.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,#ripcod,2016-07-15T17:05:25.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,I want it fore mw and fore the zombie mode,2016-07-15T14:41:50.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"Hi

I love people and I love games Agaymenk Example
1 - FIFA
2-Call of Duty
3 - Minecraft
4 = games Akhari

Etbi explanations Example
1 - Qlchat
2 - Chorhat
3 - design
4 = other

Question: Matlqy

Tovrlk each fallopian Hama",2016-07-15T14:31:51.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"wow, didn't blink, the actors on this video are savage",2016-07-15T11:10:50.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,quick question  zombies  in  the game or no zombies  in the game,2016-07-15T03:56:32.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,why nine min,2016-07-15T03:49:06.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,this warst call of duty but we love mw4,2016-07-15T00:08:36.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,this is not infinity wards fault,2016-07-14T21:24:26.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"Raven And Treyarch Made CoD What It Is, Sledge Ruined It, Sadly I Think Infinity Will Do The Same",2016-07-13T23:04:27.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,WHY CAN'T YOU REMASTER BO2!,2016-07-13T23:02:59.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"TBH I Don't Care About Campaigns, The Call Of Duty Campaigns Have Always Been Amazing Don't Get Me Wrong, But I Just Always Loved Multiplayer",2016-07-13T22:51:23.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"In My Opinion, Sledgehammer Games Ruined Call Of Duty For Me [They Created Ghosts And AW] So I'm Hoping Infinity Ward Can Make It What It Was Again!",2016-07-13T22:47:21.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,who can't stop watching porn will buy the game,2016-07-13T19:07:47.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,I find it funny that it already has more dislikes then likes and the stream isn't on yet,2016-07-13T15:52:49.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,!!!!!!,2016-07-13T11:23:59.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,i still got advanced warfier,2016-07-13T07:27:18.000Z
