Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,14,8,7,0.07279527314736231,0.536980056980057
Knn Classifier,0.1,3,15,8,7,0.05470778551639021,0.5888129154795821
Knn Classifier,0.1,3,16,8,7,0.03935866244193608,0.5636467236467236
Knn Classifier,0.1,3,17,8,7,0.08623100768537746,0.5616714150047484
Knn Classifier,0.1,3,18,8,7,0.06196871038547102,0.5621842355175688
Knn Classifier,0.1,3,19,8,7,0.08623100768537746,0.5616714150047484
Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,1,9,8,0.042501707614065555,0.5010066476733144
Knn Classifier,0.1,3,2,9,8,0.10542348793440448,0.44972459639126305
Knn Classifier,0.1,3,3,9,8,0.050173261706716495,0.48569800569800564
Knn Classifier,0.1,3,4,9,8,0.04067306554178167,0.499031339031339
Knn Classifier,0.1,3,5,9,8,0.05682092371946919,0.5266856600189933
Knn Classifier,0.1,3,6,9,8,0.0728915471970433,0.5523646723646723
Knn Classifier,0.1,3,7,9,8,0.09252533559450794,0.55335232668566
Knn Classifier,0.1,3,8,9,8,0.11198227971499371,0.490636277302944
Knn Classifier,0.1,3,9,9,8,0.09661027985840104,0.4640075973409307
Knn Classifier,0.1,3,10,9,8,0.10996472267294544,0.5281861348528015
Knn Classifier,0.1,3,11,9,8,0.0728915471970433,0.5523646723646723
Knn Classifier,0.1,3,12,9,8,0.05772166957095872,0.539031339031339
Knn Classifier,0.1,3,13,9,8,0.038760178559348525,0.5123646723646723
Knn Classifier,0.1,3,14,9,8,0.07721165664427802,0.4467236467236468
Knn Classifier,0.1,3,15,9,8,0.06396503131497999,0.47236467236467233
Knn Classifier,0.1,3,16,9,8,0.02453613272270179,0.4481861348528015
Knn Classifier,0.1,3,17,9,8,0.04531796352382798,0.448698955365622
Knn Classifier,0.1,3,18,9,8,0.02453613272270179,0.4481861348528015
Knn Classifier,0.1,3,19,9,8,0.009072223996564238,0.4743399810066477
Classifier,Alpha Value,Cross_Val folds,N° Neighbors,Prediction Period,Parsing Day range,Score Std,Score average
Knn Classifier,0.1,3,1,10,9,0.037422633722644774,0.4761904761904762
Knn Classifier,0.1,3,2,10,9,0.0174184201506399,0.38428571428571434
Knn Classifier,0.1,3,3,10,9,0.023454495916237626,0.5119047619047619
Knn Classifier,0.1,3,4,10,9,0.06899669715056711,0.5757142857142857
Knn Classifier,0.1,3,5,10,9,0.11592475470249859,0.48380952380952386
Knn Classifier,0.1,3,6,10,9,0.1071354494793735,0.5090476190476191
Knn Classifier,0.1,3,7,10,9,0.08773284535563072,0.520952380952381
Knn Classifier,0.1,3,8,10,9,0.06573843586603942,0.5252380952380952
Knn Classifier,0.1,3,9,10,9,0.05180199525132349,0.511904761904762
Knn Classifier,0.1,3,10,10,9,0.06631540112450393,0.5519047619047619
Knn Classifier,0.1,3,11,10,9,0.05944566298791328,0.5238095238095238
Knn Classifier,0.1,3,12,10,9,0.0833673400000552,0.5119047619047619
Knn Classifier,0.1,3,13,10,9,0.09926944025583848,0.5728571428571428
