,Classifier,Alpha Value,Cross_Val folds,Layer Structure,Prediction Period,Parsing Day range,Score Std,Score average
227,MLPClassifier,0.1,3,"(30, 30, 80)",5,3,0.09708681857047359,0.5028571428571428
228,MLPClassifier,0.1,3,"(30, 30, 90)",5,3,0.09600878644598071,0.46428571428571425
229,MLPClassifier,0.1,3,"(30, 30, 100)",5,3,0.1071354494793735,0.490952380952381
230,MLPClassifier,0.1,3,"(30, 40, 10)",5,3,0.07879189847507247,0.5042857142857143
231,MLPClassifier,0.1,3,"(30, 40, 20)",5,3,0.09002896989025885,0.5161904761904762
232,MLPClassifier,0.1,3,"(30, 40, 30)",5,3,0.07040214900863476,0.5014285714285714
233,MLPClassifier,0.1,3,"(30, 40, 40)",5,3,0.061956022732535636,0.5161904761904762
234,MLPClassifier,0.1,3,"(30, 40, 50)",5,3,0.08773284535563071,0.4790476190476191
235,MLPClassifier,0.1,3,"(30, 40, 60)",5,3,0.06825655218438575,0.4776190476190476
236,MLPClassifier,0.1,3,"(30, 40, 70)",5,3,0.09002896989025885,0.5161904761904762
237,MLPClassifier,0.1,3,"(30, 40, 80)",5,3,0.11592475470249862,0.5161904761904762
238,MLPClassifier,0.1,3,"(30, 40, 90)",5,3,0.0917059285120817,0.5561904761904762
239,MLPClassifier,0.1,3,"(30, 40, 100)",5,3,0.12099549287908272,0.5576190476190477
240,MLPClassifier,0.1,3,"(30, 50, 10)",5,3,0.08716237096112421,0.5428571428571428
241,MLPClassifier,0.1,3,"(30, 50, 20)",5,3,0.07040214900863476,0.5014285714285714
242,MLPClassifier,0.1,3,"(30, 50, 30)",5,3,0.08903870594557509,0.5814285714285714
243,MLPClassifier,0.1,3,"(30, 50, 40)",5,3,0.07322812490187082,0.5295238095238095
244,MLPClassifier,0.1,3,"(30, 50, 50)",5,3,0.08971863299547071,0.5176190476190476
245,MLPClassifier,0.1,3,"(30, 50, 60)",5,3,0.1083142317016358,0.5442857142857144
246,MLPClassifier,0.1,3,"(30, 50, 70)",5,3,0.09002896989025885,0.5161904761904762
